Sample,Pquery,Multiplicity,EDPL
RAxML_portableTree.dino_epa,64ec4a367b3035082ade2b723ec9758927bdded8_17,1,1.11492
RAxML_portableTree.dino_epa,7e42418129ea5aaea8d3149fba519f32ca6ad996_26,1,0.0769648
RAxML_portableTree.dino_epa,84e420408460fd0519b7dc846f8239a6e1aba082_9,1,0.0324303
RAxML_portableTree.dino_epa,a2357d1f3dd7275476e8e5d782deeab3038aa403_13,1,0.204239
RAxML_portableTree.dino_epa,35ec737728ca4e6f498a12719de09b79099c27d5_12,1,0.281594
RAxML_portableTree.dino_epa,ef02f2a97f01c3be157c52e25513b9477856f56c_6,1,0.0762801
RAxML_portableTree.dino_epa,0b32ab63926c0405c1441d7fed5db87a70cdcc79_9,1,0.497571
RAxML_portableTree.dino_epa,0e12e913708a090ec2aa02d10086882f87c721b3_15,1,0
RAxML_portableTree.dino_epa,7f82fcfab420aadea863c2d4fe7fd6b65aefd4ba_5,1,0.830369
RAxML_portableTree.dino_epa,c50196f46f1ce669b41fb6cf7f2782521bf1faba_8,1,0.142196
RAxML_portableTree.dino_epa,d112d3d56666affd015d5908211b0a54b14fe6ce_5,1,0.272847
RAxML_portableTree.dino_epa,04ef7824b6bc77c4bd755fa360e2903b5a018a47_8,1,0.0721079
RAxML_portableTree.dino_epa,1d6727aeab4b54c40b50810aa80e17a32ef0dd19_12,1,0.0751482
RAxML_portableTree.dino_epa,2e7729e1d1a799dd75d5d1cc19cd093e6eb128a4_4,1,0.0751422
RAxML_portableTree.dino_epa,351b1077e3e4b89d87dcdfc9ec20a475ea190eb7_22,1,0.138917
RAxML_portableTree.dino_epa,44cb591706f5d8e6a8f94fb23b187c60f93fc502_4,1,0.0416586
RAxML_portableTree.dino_epa,5eed2099d239d05fd3f578af04d0a8eb81719fe0_9,1,0.30953
RAxML_portableTree.dino_epa,7551555993b7191609cab1b611545d5ac858283b_23,1,0.00599198
RAxML_portableTree.dino_epa,a54f54dd3bfac045239dea1ce480d26dc5beac41_6,1,0.276813
RAxML_portableTree.dino_epa,b08bcb283d7095325bdb4399e853e6aea7bd30df_7,1,0.224143
RAxML_portableTree.dino_epa,c6abc78693ef3bcc644f9e819d7512fbed1ab6f8_5,1,0.04323
RAxML_portableTree.dino_epa,c8f36d9238137375044edf00da8cad84ab231937_10,1,1.14547
RAxML_portableTree.dino_epa,d5f4ab857f9cd02ba17760a079c979c29f4a826d_7,1,0.44794
RAxML_portableTree.dino_epa,edf646d1ce9e460020299f0cce2f2371dfaf8ffc_5,1,0.123104
RAxML_portableTree.dino_epa,027bbb34b140df15b28de6788e154eb7a3c25256_8,1,0.0762948
RAxML_portableTree.dino_epa,05eef0c777d38968907e549ac5fda0fae976569e_11,1,0.0763786
RAxML_portableTree.dino_epa,08d0ee660179cbc23a42c5cac56223344ddddaa5_7,1,0.621698
RAxML_portableTree.dino_epa,219b58b56075653d073f23e624f1231d2d51b2a9_4,1,0
RAxML_portableTree.dino_epa,25c273820cb13e883701fe04d21f30671394dfdd_4,1,0.0863631
RAxML_portableTree.dino_epa,34f4882d7a687b1704629152f3160c66a50bb507_4,1,0.279015
RAxML_portableTree.dino_epa,375232b46264968ca639d68b54706febd5940eef_7,1,0.660269
RAxML_portableTree.dino_epa,3c69faa7cccdb765a46ca2cc9a11335d17a37c5b_3,1,0.0691655
