Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,ef2d558f3c53c0960a9e2eb5f0ab267ecdaed011_53,1,0.056928,0.035223,0.01881,0.016894,0.016374,0.846199
RAxML_portableTree.dino_epa,57659cfc0f021ef7ddf42433f106c987277d2de8_38,1,0.092398,0.085518,0.062865,0.062802,0.057137,0.629591
RAxML_portableTree.dino_epa,79aa111ef40cf85c6927695a2ecbabfc6aacaaf8_40,1,0.149919,0.086789,0.085134,0.045517,0.030229,0.592468
RAxML_portableTree.dino_epa,a0e21fe41beed01ba2ae497754705b95ffdd06e1_30,1,0.740317,0.073266,0.028363,0.028238,0.026003,0.093917
RAxML_portableTree.dino_epa,31e59f4d50eaaa10d406bd23e365453ecda4af54_29,1,0.277238,0.256998,0.08855,0.078619,0.078337,0.210467
RAxML_portableTree.dino_epa,3d618eac050328b7ab982248e773a35b0833c423_27,1,0.447257,0.299102,0.253627,0.0,0.0,0.0
RAxML_portableTree.dino_epa,4c47950e31746d3b14dfdc5b1a8c5812549014dd_39,1,0.361161,0.074817,0.065486,0.065437,0.048937,0.374838
RAxML_portableTree.dino_epa,e24f8a79523089a5e1478ab6d45ae30e95ae92e9_29,1,0.771595,0.144024,0.077135,0.0,0.0,0.0
RAxML_portableTree.dino_epa,131f000d2bac2ca8711b7182375283f33b340896_31,1,0.530157,0.118337,0.106942,0.032823,0.027139,0.174684
RAxML_portableTree.dino_epa,94d7e5203b4b5cd437c9ec87770a366c06dcfb15_42,1,0.267243,0.207847,0.102586,0.102565,0.067005,0.243129
RAxML_portableTree.dino_epa,e8bbe0dbf9a15b5ea9c741c350538a8a84b78834_27,1,0.998224,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,04afe92529dea4b166caad7b7a7ace2c4edb2801_33,1,0.587863,0.228255,0.168157,0.007331,0.0,0.0
RAxML_portableTree.dino_epa,2d07ccc4f13dfd948ef178c1b9efde6cc8c5b3fa_22,1,0.109883,0.07499,0.074921,0.072543,0.040219,0.617616
RAxML_portableTree.dino_epa,50d0c55a83c434ad490f295f387e09dfc6715e0b_31,1,0.225884,0.083534,0.079977,0.078104,0.073817,0.448843
RAxML_portableTree.dino_epa,75ff38e18e6f31328fe328f6f886a0825f11a052_22,1,0.125451,0.12543,0.125072,0.124661,0.122237,0.36789
RAxML_portableTree.dino_epa,15801d3a29f7961f425dada58e917cfddcc2ddd6_31,1,0.428813,0.30364,0.267524,0.0,0.0,0.0
RAxML_portableTree.dino_epa,20953b6e64482764034c2355a3eeac795802a175_30,1,0.436983,0.29865,0.259859,0.0,0.0,0.0
